timestamp,ax,ay,az,gx,gy,gz
4123044,0.8344,-0.1615,0.5302,18.2495,21.0571,-5.3101
4123064,0.9419,-0.2317,0.5195,13.1836,18.1885,-6.1035
4123084,1.1049,-0.2944,0.5151,8.1177,15.0146,-6.6528
4123104,1.2733,-0.3274,0.5065,8.606,9.3994,-5.6152
4123124,1.4784,-0.3257,0.5046,12.8174,4.0283,-3.1128
4123144,1.5153,-0.2853,0.4824,18.3105,-4.5166,2.3804
4123164,1.5007,-0.2605,0.4523,19.7754,-12.207,6.2256
4123185,1.3982,-0.2909,0.4412,20.9351,-18.1274,9.9487
4123205,1.2755,-0.3291,0.4208,23.7427,-23.4375,13.1836
4123225,1.1631,-0.3228,0.4066,26.5503,-26.4893,15.2588
4123245,1.0131,-0.2987,0.3734,28.0762,-28.8696,17.7612
4123265,0.7755,-0.2526,0.3484,29.1748,-29.7852,23.4985
4123285,0.6315,-0.2225,0.3556,29.2358,-29.48,44.9829
4123305,0.5548,-0.2284,0.3904,28.5034,-27.5269,36.438
4123328,0.5417,-0.3265,0.452,21.3013,-22.4609,45.2881
4123348,0.5499,-0.392,0.5155,6.958,-13.0005,45.6543
4123369,0.5117,-0.4698,0.4987,0.6104,-7.9956,41.4429
4123389,0.4952,-0.4636,0.4658,-3.7231,-2.1973,37.3535
4123409,0.4913,-0.3857,0.4379,-11.4136,4.4556,34.79
4123429,0.4364,-0.3368,0.3677,-19.8975,10.6201,33.2642
4123449,0.325,-0.2778,0.3363,-28.7476,17.2729,30.1514
4123473,0.2098,-0.177,0.3364,-49.4385,27.771,26.062
4123493,0.34,-0.1959,0.4794,-72.6318,46.5698,17.5171
4123513,0.6801,-0.0773,0.4106,-83.9844,51.1475,3.2959
4123537,1.001,0.1443,0.6866,-70.1294,78.3081,5.188
4123557,1.1362,0.2025,0.4673,-64.27,41.9312,21.1792
4123577,1.4104,0.2445,0.5099,-72.6318,29.9683,13.0615
4123597,1.6447,0.2451,0.5917,-78.4912,16.2354,11.0474
4123621,1.7469,0.3232,0.5774,-66.4673,-11.8408,-10.1318
4123641,1.6294,0.3607,0.6146,-58.6548,-29.4189,-26.1841
4123662,1.5272,0.4495,0.6301,-47.4243,-21.1792,-33.9966
4123682,1.3799,0.4146,0.6024,-37.6587,-19.5312,-39.917
4123702,1.1559,0.3396,0.4873,-23.1934,-18.2495,-42.7856
4123722,1.0219,0.2822,0.4518,-11.7188,-19.7144,-44.0674
4123744,0.777,0.2179,0.416,-1.0376,-22.583,-46.4478
4123764,0.6121,0.1896,0.3778,5.9204,-23.9258,-46.2646
4123784,0.3781,0.1797,0.3241,35.7056,-27.1606,-42.9688
4123805,0.2922,0.217,0.3108,54.8096,-22.8882,-41.1987
4123825,0.1796,0.2168,0.1709,76.9043,-23.4985,-25.2686
4123845,-0.2601,0.4117,0.2371,83.6182,-32.1655,-2.1362
4123865,-0.176,0.2991,0.2772,87.9517,-1.0986,13.6108
