timestamp,ax,ay,az,gx,gy,gz
1777501,0.7979,0.0157,0.5648,0.8545,0.2441,0.9155
1777521,0.799,0.016,0.561,1.2207,0.5493,1.0376
1777545,0.7981,0.0154,0.5608,1.2207,0.6714,1.2207
1777565,0.7987,0.0151,0.5612,1.4038,0.4272,1.0986
1777585,0.8009,0.0145,0.5605,1.77,0.7324,1.1597
1777605,0.8042,0.0134,0.5586,2.0752,0.9155,1.0376
1777625,0.8041,0.0134,0.5548,2.1973,0.4272,1.0376
1777645,0.8025,0.0104,0.5554,2.5024,0.061,1.2817
1777668,0.8053,0.007,0.5552,2.4414,0.1221,1.2817
1777688,0.8075,0.0027,0.5554,2.1973,-0.4272,1.0376
1777708,0.8075,0.0015,0.558,1.8921,-0.7935,0.6714
1777728,0.8054,0.005,0.557,1.6479,-0.5493,0.4883
1777748,0.802,0.0009,0.5565,0.9766,-0.7935,0.4272
1777769,0.8027,0.0006,0.5598,0.6714,-0.9155,0.4272
1777789,0.8058,0.0062,0.5573,-0.1831,-0.9766,0.4883
1777809,0.8027,0.0116,0.5601,-0.061,-0.9155,0.3662
1777829,0.8027,0.0145,0.561,-0.3662,-0.8545,0.3662
1777849,0.8024,0.0161,0.5601,-0.1221,-0.9155,0.6104
1777869,0.8013,0.0156,0.5603,-0.3052,-0.9766,0.3052
1777889,0.7993,0.0159,0.5601,-0.3052,-1.1597,0.3052
1777911,0.798,0.0151,0.5599,-0.061,-1.1597,0.3052
1777931,0.7979,0.0188,0.5594,0.1221,-1.2817,0.3662
1777951,0.7977,0.0193,0.5598,0.2441,-1.4038,0.5493
1777971,0.7998,0.0183,0.5605,0.8545,-1.5259,0.7324
1777992,0.7994,0.0156,0.563,0.7935,-1.6479,0.8545
1778012,0.7986,0.017,0.5649,1.1597,-1.6479,0.9766
1778032,0.7955,0.0162,0.5685,1.2207,-1.4038,1.0376
1778054,0.799,0.016,0.5696,1.4648,-1.0376,0.9155
1778074,0.7988,0.0138,0.5667,1.3428,-0.7935,0.7935
1778094,0.7939,0.0146,0.5673,1.2207,-0.8545,0.7935
1778114,0.793,0.0162,0.568,1.4648,-0.9155,0.8545
1778137,0.7908,0.0154,0.5684,1.2817,-0.4883,0.7935
1778157,0.7917,0.0146,0.5674,0.7935,-0.5493,0.4883
1778179,0.7906,0.0095,0.5681,0.7935,-0.1831,0.0
1778199,0.7913,0.0063,0.5677,0.4272,0.4883,-0.3052
1778221,0.7957,0.006,0.5679,0.061,0.7935,-0.4272
1778241,0.7976,0.0049,0.5693,0.0,0.7324,-0.4272
1778261,0.7988,0.0032,0.5641,-0.3052,0.7324,-0.3662
1778281,0.8015,-0.0021,0.5559,-0.4883,1.0986,-0.4272
1778301,0.8092,-0.0013,0.553,-0.6714,1.5869,-0.4272
1778321,0.8116,0.0048,0.5543,-1.2817,0.9766,-0.4883
1778343,0.8081,0.0151,0.5529,-1.2207,0.1221,-0.061
1778363,0.8102,0.0184,0.5488,-0.6104,-0.3052,0.2441
1778384,0.816,0.0206,0.5491,-0.1831,-0.2441,0.3662
1778404,0.8176,0.0258,0.552,-0.1221,-0.6714,0.7324
1778424,0.8138,0.0265,0.5547,0.2441,-1.0986,0.6104
1778444,0.8063,0.0271,0.556,1.0376,-2.3193,0.9766
1778464,0.8024,0.0253,0.5583,1.5869,-2.8076,1.4648
1778484,0.7943,0.0221,0.5638,2.1973,-2.8076,1.5259
1778504,0.791,0.0205,0.5688,2.2583,-2.3804,1.9531
1778525,0.7909,0.0197,0.5691,2.4414,-2.1973,2.3804
1778548,0.7904,0.0173,0.5687,2.4414,-2.0142,2.3193
1778568,0.7903,0.0171,0.5693,2.3193,-2.0142,2.2583
1778588,0.791,0.0157,0.5704,2.3193,-1.5869,2.0142
1778608,0.7908,0.0131,0.571,2.1362,-1.6479,1.6479
1778628,0.7944,0.0117,0.5684,1.77,-1.0986,1.2817
1778651,0.7936,0.0076,0.5686,1.0376,-1.3428,1.1597
1778671,0.7919,0.0048,0.5759,0.9155,-1.3428,0.6104
1778691,0.7943,0.0078,0.5751,0.3662,-1.3428,0.6104
1778711,0.7926,0.0111,0.5737,-0.061,-1.3428,0.3052
1778732,0.7903,0.0044,0.5688,-0.2441,-0.7935,0.2441
1778752,0.795,0.0049,0.5662,-1.4038,0.5493,-0.3052
1778772,0.7992,0.0161,0.5656,-2.0142,0.4272,-0.4883
1778792,0.7982,0.0186,0.5586,-2.6245,0.2441,-0.5493
1778812,0.8047,0.0157,0.5577,-2.7466,0.1831,-0.7324
1778832,0.8196,0.017,0.5531,-3.1738,1.0376,-1.4648
1778852,0.8234,0.0232,0.5546,-3.3569,1.0376,-2.2583
1778872,0.8247,0.0278,0.5529,-3.2959,0.5493,-2.5635
1778894,0.8185,0.0312,0.5551,-3.0518,-0.5493,-2.6245
1778914,0.8099,0.0289,0.5551,-2.5635,-1.3428,-2.3193
1778934,0.809,0.0269,0.5601,-1.4038,-1.9531,-2.1973
1778954,0.8049,0.0261,0.5649,-0.6104,-2.6855,-2.1362
1778974,0.7939,0.0255,0.5668,0.0,-3.8452,-2.0142
1778996,0.7848,0.0231,0.5677,0.2441,-4.2725,-1.9531
1779016,0.7838,0.0123,0.5635,0.6714,-4.5776,-1.0986
1779036,0.783,0.0103,0.5696,0.4272,-5.0659,-0.9155
1779056,0.7828,0.0182,0.5742,0.0,-5.9814,-0.3662
1779076,0.7794,0.0225,0.5781,0.6714,-6.958,0.3662
1779096,0.7765,0.0234,0.5869,1.2817,-7.8125,0.7324
1779116,0.7759,0.0236,0.598,1.8921,-7.4463,1.2817
1779140,0.7783,0.027,0.6031,2.2583,-7.1411,1.6479
