timestamp,ax,ay,az,gx,gy,gz
961415,1.1675,0.0095,0.4324,-13.6108,-9.6436,17.5171
961436,1.0299,0.0063,0.5458,-14.0991,-19.4092,14.0991
961456,1.0143,0.0197,0.6014,-11.0474,-12.4512,11.4136
961476,0.9916,0.062,0.6699,-10.6201,-5.7373,11.8408
961496,0.8418,0.0925,0.6647,-10.1318,-1.0376,10.5591
961517,0.7659,0.1068,0.6282,-16.0522,8.8501,4.7607
961538,0.806,0.1077,0.5719,-19.8364,7.5684,0
961561,0.7936,0.0822,0.5757,-23.8647,3.1738,-5.4321
961581,0.8138,0.0852,0.5454,-25.3296,0.7935,-9.9487
961601,0.7902,0.1152,0.514,-23.3154,-3.8452,-18.0664
961621,0.79,0.1359,0.484,-20.9961,0.9155,-21.4844
961641,0.8198,0.1648,0.457,-20.0806,4.6997,-19.8975
961661,0.8124,0.1654,0.4047,-16.4795,3.6621,-18.0664
961681,0.7926,0.1421,0.3909,-11.8408,-0.9766,-16.4185
961701,0.7871,0.1459,0.3865,-10.498,4.2114,-14.1602
961722,0.7904,0.1372,0.3531,-8.4839,4.2725,-12.2681
961742,0.8032,0.1133,0.3391,-6.5308,3.9062,-11.1084
961762,0.7446,0.0875,0.3011,-2.6245,-0.8545,-11.0474
961782,0.7384,0.0807,0.2886,-0.6104,-2.6855,-10.1929
961802,0.7286,0.089,0.2806,-0.2441,-1.4038,-10.1318
961822,0.712,0.0931,0.2736,0.6714,-0.3662,-8.4839
961842,0.7257,0.1285,0.292,4.6387,-4.8218,-5.7373
961862,0.7849,0.1075,0.3301,5.6152,-6.8359,-3.9062
961882,0.8176,0.061,0.3019,5.8594,-7.2632,-2.3193
961902,0.812,0.0287,0.3457,2.9907,-4.6997,-2.4414
961922,0.8063,0.0781,0.3829,4.8828,-8.0566,-5.8594
961942,0.8838,0.1289,0.3862,8.1177,-3.9673,-5.9814
961962,1.0001,0.1193,0.3832,13.5498,-1.8311,-4.8218
961982,1.0078,0.1002,0.3986,14.4043,-1.4038,-5.9204
962004,1.0568,0.1201,0.4395,14.8926,-0.6714,-6.6528
962024,1.1561,0.1035,0.5264,19.2871,0.4272,-4.5776
962044,1.2388,0.0498,0.4548,21.0571,-1.2817,-3.7842
962064,0.9984,-0.0161,0.6737,23.4375,-0.4272,-7.2632
962084,1.1206,-0.0902,0.701,22.1558,1.5869,-6.958
962105,0.9878,-0.2061,0.7214,17.1509,4.6997,-8.0566
962145,0.9003,-0.1267,0.6163,16.9067,14.8926,-10.0098
962169,0.9196,-0.1161,0.5566,22.8882,17.0288,-1.6479
962192,0.8274,-0.1072,0.5062,25.3296,18.8599,5.4932
962212,0.8287,-0.115,0.4777,25.0854,7.5073,13.1226
962232,0.8652,-0.0989,0.4091,24.7803,5.9204,18.2495
962252,0.8317,-0.1094,0.3623,21.9116,6.7139,19.8975
962272,0.7612,-0.1443,0.3342,18.9209,8.0566,19.4702
962292,0.7526,-0.1382,0.3163,16.1133,6.4697,19.9585
962312,0.7397,-0.1554,0.303,12.7563,7.9346,18.4326
962332,0.7883,-0.1519,0.2736,9.7046,8.728,17.8833
962352,0.8043,-0.1392,0.2656,8.4229,-14.2212,16.7236
962372,0.7563,-0.0865,0.2629,7.6904,-6.3477,16.9678
962392,0.75,-0.0889,0.251,7.1411,-11.8408,17.0288
962412,0.7177,-0.1223,0.2736,5.6763,-16.8457,15.3809
962432,0.7241,-0.1267,0.2841,3.418,-15.5029,14.4653
962452,0.7498,-0.1277,0.287,-0.5493,-7.8125,14.8926
962472,0.7576,-0.1331,0.3185,-0.6104,-12.4512,12.9395
