timestamp,ax,ay,az,gx,gy,gz
3217857,0.6152,0.3253,0.2971,1.6479,-8.0566,-15.625
3217877,0.5674,0.3022,0.2722,9.3994,-2.8687,-14.4043
3217897,0.545,0.2875,0.2899,19.4092,0.6714,-12.8174
3217917,0.5012,0.2561,0.288,39.6118,-0.9155,-10.9863
3217937,0.4598,0.171,0.4617,52.7344,-2.8076,-7.9956
3217959,0.6744,0.0171,0.412,55.481,2.6855,0.7935
3217999,0.8801,-0.4755,0.5355,42.3584,-30.8228,6.6528
3218019,0.9797,-0.4799,0.5547,47.8516,-30.8838,4.1504
3218039,1.1028,-0.3989,0.5485,56.6406,-31.8604,3.1128
3218059,1.1439,-0.3429,0.6615,56.3354,-10.0098,9.7656
3218079,1.2673,-0.2648,0.7374,54.0161,-18.1885,18.0664
3218099,1.2717,-0.3076,0.7034,44.0674,-14.5874,24.5972
3218119,1.24,-0.3258,0.6921,40.7715,-11.6577,25.5737
3218142,1.1261,-0.308,0.5731,38.269,-9.9487,28.9307
3218162,0.8915,-0.2336,0.4933,36.0718,0.3052,34.1187
3218183,0.7103,-0.2412,0.4335,40.3442,4.2114,37.2314
3218203,0.6138,-0.2444,0.4442,37.2925,12.085,38.8184
3218223,0.552,-0.2089,0.516,33.5083,13.6108,39.2456
3218247,0.3977,-0.2727,0.475,19.8975,6.4087,39.3066
3218267,0.3918,-0.3712,0.4236,1.9531,6.958,33.4473
3218287,0.4517,-0.4629,0.4181,-9.3994,8.667,26.2451
3218307,0.4811,-0.455,0.4276,-16.3574,9.3384,20.9351
3218330,0.2439,-0.3434,0.4335,-10.6201,0.061,16.3574
3218350,0.1901,-0.2502,0.2473,-23.9258,30.2124,10.9863
3218373,0.4449,-0.007,0.1559,-56.1523,50.6592,5.4932
3218393,1.4299,0.3522,-0.397,-126.0376,83.0688,-9.5825
3218413,0.9696,0.3193,0.4181,-60.2417,117.0044,-19.4702
3218436,0.9852,0.0753,0.589,-61.8286,9.4604,13.4277
3218456,1.3948,0.0879,0.4337,-75.9277,24.4141,-5.127
3218476,1.4832,0.1608,0.5818,-81.604,9.0942,-15.7471
3218499,1.5431,0.1848,0.5549,-63.1104,-13.4888,-28.2593
3218519,1.5188,0.2003,0.5415,-47.6074,-15.8691,-33.02
3218540,1.3949,0.2383,0.4521,-36.7432,-18.7378,-36.5601
3218560,1.2115,0.214,0.3827,-30.1514,-21.4844,-39.1846
3218580,0.9193,0.1689,0.3732,-24.5361,-15.3198,-39.1235
3218600,0.7904,0.199,0.4006,-18.6157,-11.3525,-38.147
3218620,0.6084,0.1962,0.3961,-2.1973,-20.9351,-36.0718
3218640,0.4537,0.2416,0.3757,13.0615,-31.4331,-32.959
3218660,0.3162,0.27,0.3542,33.3252,-37.8418,-30.5786
3218680,0.3079,0.377,0.2808,57.0679,-33.8135,-25.8789
3218700,0.2791,0.4225,0.168,65.0635,-25.5127,-19.5923
3218723,0.2753,0.2574,0.1799,58.5938,-11.0474,-6.4087
3218743,0.2145,0.1224,0.2715,60.3027,-2.0752,1.5869
3218763,0.2704,-0.1476,0.3397,58.4106,21.0571,7.2021
3218783,1.3254,-0.4304,0.2551,-55.542,108.5815,-12.8784
3218803,1.078,-0.2052,1.1407,12.5122,117.3706,-18.6157
3218823,1.2687,-0.368,0.6132,33.5693,33.7524,-1.0376
3218843,1.3157,-0.4396,0.6547,73.6084,-40.5273,-10.498
3218863,1.1639,-0.4307,0.714,89.6606,-61.8286,2.8076
3218883,1.3018,-0.3057,0.7272,80.6885,-3.6011,18.2495
3218903,1.366,-0.2775,0.7172,71.0449,-6.0425,31.1279
3218923,1.1118,-0.4253,0.543,51.2085,-21.4844,44.4946
3218943,1.0121,-0.3654,0.4677,42.6636,3.54,49.4385
3218963,0.8229,-0.2847,0.4359,38.8184,24.9634,48.2178
3218983,0.7153,-0.2979,0.4065,36.7432,31.4331,48.7671
3219003,0.5909,-0.2976,0.3484,33.3862,29.9683,48.7671
3219023,0.5103,-0.3318,0.3302,27.4048,12.9395,45.6543
3219044,0.4716,-0.3552,0.3324,23.8037,-2.1362,43.396
