timestamp,ax,ay,az,gx,gy,gz
1436942,0.8523,0.0599,0.4763,2.1973,-1.5259,0.0
1436965,0.8456,0.0461,0.4849,1.4038,-1.77,-0.3052
1436985,0.8474,0.0367,0.4868,0.3662,-1.3428,-0.6714
1437005,0.853,0.0431,0.4884,-0.4883,-1.0986,-1.3428
1437025,0.8457,0.049,0.4916,-0.3662,-1.4038,-1.5259
1437045,0.8456,0.0485,0.4979,-0.9766,-1.2207,-1.8921
1437065,0.8452,0.0485,0.4967,-0.4883,-1.1597,-1.8311
1437087,0.8354,0.0421,0.4968,-0.5493,-0.9155,-1.5259
1437107,0.8362,0.0424,0.495,-0.6104,-0.1221,-1.3428
1437127,0.8396,0.0475,0.4865,-0.4272,0.3052,-0.6104
1437147,0.8379,0.0508,0.4799,0.9155,-0.1221,-0.061
1437169,0.843,0.0472,0.4742,2.1973,-0.1831,0.6104
1437189,0.8605,0.0658,0.4542,3.418,-0.4883,1.0986
1437209,0.8646,0.0651,0.4525,6.1035,-1.709,1.8311
1437229,0.8639,0.059,0.458,6.4087,-1.5869,1.8921
1437249,0.8538,0.0327,0.4811,3.7231,-0.6104,1.4648
1437270,0.8567,0.0209,0.4868,1.5259,-0.4883,0.9766
1437290,0.8638,0.0178,0.4939,0.0,-0.6104,0.6104
1437311,0.8668,0.0237,0.493,-0.8545,-1.1597,0.6104
1437331,0.8538,0.0455,0.4926,-0.4883,-1.5259,0.7324
1437351,0.8427,0.0596,0.4877,0.1221,-2.0752,0.7324
1437374,0.8285,0.0636,0.4891,0.4272,-2.0752,0.4272
1437394,0.8182,0.0663,0.4916,0.3052,-1.4038,-0.2441
1437414,0.8158,0.0514,0.5002,0.1221,-0.6104,-0.4883
1437434,0.8201,0.0443,0.5032,-0.2441,0.4272,-0.4883
1437456,0.8219,0.0322,0.5029,0.0,1.1597,0.0
1437476,0.8342,0.0322,0.5013,-0.5493,3.7231,0.7324
1437496,0.8479,0.0359,0.5004,-2.0142,4.0283,0.4272
1437516,0.8492,0.051,0.4913,-0.061,-0.9766,1.5259
1437536,0.8508,0.0565,0.4801,0.061,1.0376,0.4883
1437557,0.8599,0.0676,0.4749,1.9531,-0.6104,-0.1221
1437577,0.8385,0.0615,0.4888,2.7466,-1.4038,-0.9155
1437597,0.847,0.0399,0.4847,1.3428,1.5869,-1.4648
1437617,0.8727,0.0457,0.4689,0.4272,3.2959,-1.5259
1437637,0.8605,0.0594,0.4728,1.8311,1.6479,-0.8545
1437657,0.8462,0.0521,0.4893,3.418,1.8921,15.4419
1437677,0.8586,0.0273,0.4773,1.5259,4.1504,0.3662
1437697,0.8601,0.0248,0.4712,0.7324,2.6245,0.7935
1437717,0.8684,0.0465,0.462,0.7935,1.4038,0.3662
1437737,0.8644,0.0609,0.4637,2.0752,-0.1221,0.3662
1437757,0.8495,0.0411,0.4783,2.6245,-0.7935,0.0
1437777,0.8506,0.0316,0.4797,1.3428,0.1221,-0.1831
1437797,0.8511,0.0269,0.4779,-0.4272,0.2441,0.3052
1437817,0.8494,0.0228,0.4785,-0.9766,-0.6104,0.9766
1437837,0.8481,0.03,0.4812,-1.8921,-0.3052,0.5493
1437857,0.8547,0.0596,0.4723,-1.3428,-0.6714,-0.061
1437877,0.8424,0.0636,0.4785,0.1221,-0.4272,-0.8545
1437897,0.8486,0.056,0.4764,0.4272,0.6104,-1.0986
1437917,0.8496,0.0471,0.4756,0.7935,0.3052,-0.5493
1437941,0.8478,0.0314,0.4778,0.6104,0.6104,-0.061
1437961,0.8496,0.0247,0.478,-0.061,1.3428,-0.1221
1437983,0.8563,0.0309,0.4723,-0.2441,1.8921,-0.3052
1438003,0.8556,0.0338,0.4697,0.1831,1.1597,-0.3052
1438023,0.8539,0.0349,0.4717,0.1221,0.7935,-0.3052
1438046,0.8545,0.0372,0.4753,-0.3662,0.7935,-0.1221
1438066,0.8606,0.0431,0.4757,-1.1597,1.4038,-0.2441
1438086,0.8571,0.045,0.474,-1.6479,1.8921,-1.0376
1438107,0.8561,0.0481,0.4764,-2.1973,2.5024,-1.0986
1438127,0.8556,0.0515,0.4752,-2.0752,2.6855,-1.3428
1438147,0.8531,0.0548,0.4773,-2.3804,2.1362,-1.2207
1438167,0.8469,0.0588,0.4762,-1.0986,1.8921,-1.0376
1438187,0.8472,0.0562,0.4749,-0.9155,2.1362,-0.9766
1438208,0.845,0.0441,0.4724,-0.7935,2.5635,-1.0986
1438228,0.8431,0.0365,0.4742,-1.2817,3.7231,-1.4038
1438248,0.8472,0.0424,0.4751,-1.77,5.7983,-2.0142
1438268,0.8451,0.0487,0.4801,-0.3662,7.4463,-2.6855
1438288,0.8608,0.0468,0.4771,0.061,8.4839,-2.7466
1438308,0.8716,0.0458,0.4698,0.1831,9.3384,-2.8076
1438328,0.8778,0.0397,0.4595,-0.061,9.3994,-3.1128
1438348,0.8781,0.0336,0.4583,-0.3662,9.7656,-3.1738
1438368,0.8833,0.0331,0.457,-0.4272,9.5215,-3.1738
1438388,0.8799,0.0374,0.4507,0.2441,8.4839,-3.1128
1438408,0.8641,0.0365,0.4385,0.4883,7.6294,-2.9907
1438428,0.8533,0.0309,0.4347,0.1831,7.4463,-2.9907
1438448,0.8511,0.0223,0.4324,-0.8545,8.667,-2.9907
1438468,0.859,0.0239,0.4314,-1.4038,8.606,-2.9297
1438488,0.8517,0.025,0.4269,-1.4648,7.8735,-2.9297
1438508,0.8434,0.0273,0.4253,-0.5493,7.019,-2.9907
1438528,0.8474,0.0239,0.4213,-0.1221,7.2021,-2.6245
1438549,0.8474,0.0166,0.4156,-0.2441,8.1787,-2.5024
1438570,0.8497,0.0073,0.4164,-0.5493,8.8501,-2.0752
1438590,0.8652,0.0096,0.4161,-1.709,10.9253,-1.8921
1438610,0.8889,0.0234,0.4122,-1.709,11.3525,-2.0142
1438630,0.9232,0.024,0.3988,-1.9531,12.146,-2.1973
1438650,0.9283,0.0259,0.3965,-2.3804,11.7188,-2.2583
1438670,0.9271,0.0239,0.3944,-2.5024,10.8643,-2.1973
1438690,0.9252,0.0256,0.3917,-2.7466,10.1318,-2.0142
1438710,0.9211,0.028,0.3883,-2.0752,8.606,-1.9531
1438730,0.9208,0.0321,0.3801,-1.3428,7.3853,-1.6479
1438750,0.9142,0.0624,0.3755,-1.0986,8.0566,-1.4648
1438770,0.9121,0.0316,0.3712,-0.9766,7.8125,-0.7324
1438791,0.9126,0.0312,0.3645,-0.1831,7.1411,-0.4272
1438811,0.9169,0.0289,0.3624,0.5493,6.7749,-0.061
1438831,0.9196,0.0245,0.3583,0.9766,6.1646,0.2441
1438854,0.9176,0.0208,0.3535,1.4648,5.188,0.6104
1438874,0.9075,0.0175,0.3502,2.0142,4.4556,0.9766
1438894,0.902,0.0182,0.3489,2.2583,4.1504,1.2207
1438914,0.8987,0.0189,0.3478,2.5024,4.0894,1.4038
1438936,0.8958,0.0256,0.3414,3.479,5.3101,1.5869
1438956,0.903,0.0225,0.3427,4.0283,5.127,2.0142
1438976,0.9227,0.0106,0.3402,3.8452,4.7607,2.2583
1438996,0.9265,0.0074,0.3326,3.8452,3.9062,2.2583
1439016,0.9302,0.0082,0.3289,3.2959,3.1738,1.4648
1439036,0.9357,0.0095,0.3253,3.0518,2.1362,0.8545
1439056,0.9371,0.0098,0.3213,2.6245,2.0752,0.5493
1439076,0.9325,0.0098,0.3218,1.8921,1.6479,0.9155
1439120,0.9271,0.0117,0.3285,0.4272,1.0986,1.0376
1439141,0.9221,0.0175,0.3264,-0.061,0.3662,0.8545
1439161,0.9146,0.0221,0.3271,-0.3052,-0.061,0.6104
1439181,0.9105,0.0278,0.3263,-0.4272,0.2441,0.3052
1439201,0.9108,0.0293,0.3278,-0.2441,-0.3662,0.2441
1439221,0.9067,0.0367,0.3292,0.3052,-0.6104,0.1831
1439241,0.9003,0.0398,0.3282,0.6714,-0.6714,0.1221
1439261,0.9081,0.037,0.3226,1.6479,-0.3052,0.1831
1439281,0.9236,0.0309,0.3291,1.8311,-0.3662,0.3662
1439301,0.9249,0.027,0.3292,1.8921,-0.6104,0.4272
1439322,0.9264,0.0237,0.3303,1.9531,-0.8545,0.5493
1439342,0.9247,0.0247,0.3306,1.9531,-1.2817,0.6104
1439362,0.9219,0.021,0.3306,1.6479,-1.8921,0.3662
1439382,0.9219,0.0226,0.3374,1.5259,-1.709,0.1221
1439402,0.9169,0.0275,0.3374,1.5869,-1.9531,-0.061
1439423,0.9163,0.0266,0.3389,1.77,-1.5869,-0.3052
1439443,0.9192,0.0238,0.3386,1.9531,-2.1362,0.3662
1439463,0.9181,0.0054,0.3423,1.77,-2.3804,-0.3662
1439483,0.9191,0.0088,0.3423,1.4648,-2.0752,-0.3052
1439506,0.918,0.0139,0.3363,1.0986,-2.1973,-0.4883
1439526,0.916,0.0171,0.3408,1.4038,-2.5635,-0.3052
1439546,0.9089,0.0208,0.3461,1.2817,-2.8687,0.061
1439566,0.9117,0.0179,0.3478,1.4038,-2.9297,0.2441
1439586,0.9136,0.0166,0.3503,1.3428,-3.1738,0.4272
1439609,0.9156,0.0187,0.3499,1.4038,-3.1128,0.4272
1439629,0.9144,0.0151,0.3552,1.2817,-3.1738,0.3662
1439649,0.9061,0.0133,0.3608,1.2817,-2.9297,0.3662
1439669,0.9039,0.0143,0.3605,1.4648,-2.7466,0.5493
1439689,0.8997,0.0181,0.358,1.77,-2.3193,0.4272
1439709,0.9106,0.0201,0.3527,1.77,-1.9531,0.4272
1439730,0.9113,0.0205,0.3553,1.8311,-2.5024,0.6714
1439752,0.9109,0.015,0.3596,1.709,-2.8687,0.7324
1439772,0.905,0.0079,0.3563,1.4038,-2.9907,0.6714
1439792,0.9036,0.0066,0.3595,1.4648,-3.1738,0.2441
1439812,0.9011,0.016,0.3693,1.6479,-2.8687,0.1831
1439834,0.9004,0.0177,0.3693,1.3428,-2.5024,0.4272
1439854,0.9028,0.0127,0.3716,0.9766,-1.9531,0.8545
1439874,0.9066,0.0095,0.3682,0.5493,-1.6479,0.7324
1439894,0.9017,0.0142,0.3695,0.3662,-1.5869,0.5493
1439914,0.8958,0.0212,0.3757,0.2441,-1.8311,0.3052
1439934,0.8923,0.0225,0.3762,0.6714,-1.709,0.2441
1439954,0.8914,0.0143,0.3748,1.2207,-1.5259,0.3662
1439974,0.8939,0.0081,0.3749,1.0376,-1.3428,0.8545
1439994,0.8967,0.01,0.3763,1.0986,-1.0376,1.1597
1440014,0.9042,0.0138,0.3793,0.6714,-0.8545,1.709
1440035,0.9055,0.0176,0.38,0.3662,-1.0376,1.77
1440055,0.9032,0.0149,0.3763,0.9766,-1.2817,1.8921
1440075,0.9082,0.0129,0.3768,0.9766,-0.8545,1.77
1440095,0.9086,0.0177,0.3767,0.9766,-1.0376,1.5869
1440115,0.9042,0.0195,0.3757,1.1597,-0.9766,1.77
1440135,0.9019,0.0179,0.3755,0.7324,-0.8545,1.6479
1440156,0.8999,0.02,0.3716,0.6104,-0.4883,1.5869
1440176,0.9019,0.021,0.3701,0.9766,-0.1221,1.2207
1440197,0.9009,0.0168,0.3688,0.9766,-0.6714,1.0986
1440217,0.9,0.0143,0.3702,0.8545,-0.7324,0.7935
1440237,0.9008,0.0128,0.3695,0.4883,-0.6104,0.6714
1440259,0.8955,0.0156,0.3677,0.061,-0.4272,0.6714
1440279,0.8978,0.0225,0.37,0.1831,-0.4883,0.6104
1440299,0.9069,0.025,0.3722,0.1831,-0.1831,0.9766
1440319,0.9119,0.0282,0.3716,0.2441,-0.2441,1.0376
1440339,0.915,0.0287,0.3726,0.4272,-0.3052,1.4648
1440359,0.9115,0.032,0.3737,0.6104,-0.5493,1.5259
1440379,0.9073,0.0348,0.3724,0.9766,-0.6714,1.3428
1440399,0.901,0.0325,0.3712,1.709,-0.7935,1.3428
1440419,0.901,0.0312,0.3678,1.8311,-0.6714,1.0986
1440439,0.8983,0.0292,0.3672,1.8921,-0.6104,1.2207
1440459,0.8901,0.0234,0.3634,2.0142,-0.6104,1.0986
1440481,0.8892,0.017,0.3639,1.4648,-0.1221,0.9766
1440501,0.8861,0.0146,0.3617,1.4038,-0.061,0.7324
1440521,0.884,0.015,0.3649,1.0376,0.5493,0.6104
1440541,0.8866,0.0217,0.3635,0.4272,0.3052,0.6104
1440563,0.8948,0.0184,0.3679,0.0,0.4883,0.8545
1440583,0.9038,0.0194,0.3728,-0.2441,0.5493,1.0376
1440606,0.9183,0.0249,0.3727,-0.1831,0.3662,0.8545
1440626,0.9188,0.0277,0.3765,-0.4272,-0.061,0.8545
1440646,0.9174,0.0298,0.3783,-0.6104,-0.3662,0.6714
1440666,0.92,0.036,0.3749,-0.6714,-0.4272,0.5493
1440689,0.9127,0.0389,0.3755,-0.1831,-0.5493,0.4883
1440709,0.9137,0.0388,0.3746,0.5493,-0.7324,0.6104
1440729,0.9125,0.0409,0.3719,0.7935,-0.6104,0.6104
1440749,0.9083,0.0367,0.3685,1.2817,-0.7935,0.1831
1440769,0.9067,0.0304,0.365,1.2207,-0.9155,-0.1221
1440789,0.8994,0.0303,0.37,1.6479,-1.3428,-0.2441
1440813,0.8906,0.0226,0.3666,1.4648,-1.2207,-0.3052
1440833,0.8899,0.0171,0.3706,0.9155,-0.9766,-0.6104
1440857,0.8909,0.0177,0.371,0.061,-0.6104,-0.9766
1440878,0.8922,0.0167,0.3694,-0.061,-0.6104,-1.2207
1440898,0.901,0.0151,0.3726,-0.9766,-0.1221,-1.2817
1440918,0.9059,0.0184,0.3737,-1.0986,-0.061,-1.5259
1440938,0.9077,0.0211,0.3711,-1.709,-0.1831,-1.2207
1440958,0.9089,0.0243,0.3723,-1.1597,-0.7324,-1.1597
1440978,0.9094,0.0272,0.3743,-1.2817,-0.8545,-0.8545
1440998,0.9119,0.0297,0.3729,-0.9766,-0.9155,-0.4883
1441018,0.91,0.0272,0.3722,-0.9155,-1.1597,0.061
1441041,0.8998,0.0277,0.3733,-0.7324,-1.0986,0.061
1441061,0.9025,0.0294,0.3739,-0.4883,-0.6714,0.0
1441081,0.9089,0.0315,0.3701,0.3052,-0.6714,0.0
1441101,0.9025,0.0288,0.3741,1.3428,-0.9766,0.6714
1441121,0.9001,0.0198,0.3729,1.2207,-0.6714,0.7935
1441141,0.8986,0.0217,0.3728,1.0986,-0.3662,0.8545
1441163,0.8977,0.0258,0.3693,1.5259,-0.2441,0.7935
1441183,0.8956,0.0209,0.3698,1.8921,0.0,0.9766
1441207,0.8944,0.0251,0.365,2.1362,0.061,0.9155
1441227,0.8896,0.0236,0.3619,1.8311,0.2441,0.9766
1441247,0.8885,0.0153,0.3694,1.5259,0.9155,0.9766
1441267,0.897,0.0192,0.3734,2.4414,1.0376,0.6104
