timestamp,ax,ay,az,gx,gy,gz
565882,0.9562,-0.0146,0.2736,1.2207,-3.9673,-2.1973
565902,0.9673,-0.0439,0.2657,1.1597,-8.667,-0.5493
565925,0.9479,-0.0779,0.2482,0,-10.2539,-0.4883
565945,0.9528,-0.0886,0.257,0.2441,-8.8501,-1.709
565965,1.0042,-0.0737,0.2581,-0.5493,-5.127,-2.5024
565985,1.0007,-0.062,0.2539,0.3662,-7.4463,-3.1128
566005,0.9785,-0.052,0.2379,1.6479,-8.606,-3.6011
566025,0.9575,-0.0431,0.2281,2.3193,-8.667,-2.7466
566045,0.9558,-0.0454,0.2185,2.3193,-8.8501,-1.5869
566065,0.943,-0.0432,0.2053,2.9907,-10.498,0
566085,0.9221,-0.0338,0.2126,4.2725,-14.4043,1.0376
566105,0.8959,-0.0529,0.2087,5.0659,-18.8599,2.3804
566128,0.8828,-0.0894,0.2076,3.1738,-17.334,2.5024
566149,0.9109,-0.1008,0.2107,1.4648,-14.7705,1.77
566169,0.9352,-0.0908,0.2286,0.5493,-13.3057,1.1597
566189,0.9257,-0.0856,0.2236,0.3052,-13.3057,0.3662
566209,0.9091,-0.0814,0.2412,-0.5493,-12.146,0.5493
566229,0.9189,-0.0939,0.2404,-1.0376,-11.7188,2.5024
566249,0.9326,-0.0933,0.2343,-4.0894,-10.1929,3.9673
566269,0.9137,-0.082,0.2357,-4.8828,-10.0708,4.6997
566289,0.901,-0.0741,0.2332,-6.2866,-9.0332,4.8218
566309,0.8954,-0.0566,0.2344,-6.2866,-9.2163,4.2725
566330,0.8925,-0.0312,0.2371,-5.3711,-8.9722,4.3335
566350,0.9098,-0.0234,0.2476,-5.9204,-7.0801,5.188
566370,0.9496,-0.0166,0.2557,-7.5684,-4.4556,7.3242
566390,0.9829,-0.0188,0.2625,-8.9722,-3.8452,8.3618
566412,0.9814,-0.0212,0.265,-11.2915,-3.479,7.9346
566432,0.9908,-0.033,0.271,-13.855,-0.1831,7.5073
566452,1.0144,-0.0377,0.2585,-16.3574,3.6621,6.5308
566472,1.0286,-0.0398,0.2603,-16.6626,2.5024,4.9438
566492,1.0244,-0.0482,0.2723,-17.395,2.6855,3.7842
566512,1.0234,-0.0486,0.2883,-20.2026,5.4932,3.7231
566532,1.0468,-0.017,0.2834,-20.9351,9.8877,3.0518
566552,0.9983,0.0133,0.3026,-16.4185,9.7656,1.8921
566573,0.9812,0.0559,0.3591,-14.0991,9.8877,2.9907
566593,0.9824,0.0564,0.3907,-12.7563,11.7188,6.4087
566613,0.9675,0.0472,0.4143,-13.4277,15.9302,9.2163
566635,0.9514,0.0599,0.4391,-14.2212,14.4653,6.7139
566655,0.9172,0.0779,0.4547,-15.0146,14.5874,4.5776
566675,0.9778,0.1001,0.4247,-16.7847,14.5874,2.6245
566696,0.9192,0.1481,0.4802,-16.6626,4.3945,0.061
566716,0.9136,0.1652,0.4358,-15.3198,-0.8545,-1.0986
566736,0.8899,0.1553,0.4346,-13.0615,-2.7466,-2.6855
566756,0.9092,0.1462,0.4113,-11.5967,0.1221,-6.1035
566777,0.9125,0.1406,0.3367,-8.5449,4.3335,-7.9346
566798,0.8752,0.1429,0.3121,-7.3242,8.667,-10.376
566818,0.8572,0.1318,0.2737,-4.2725,12.3901,-9.0942
566838,0.8599,0.1129,0.2363,-3.9673,15.9302,-7.2021
566858,0.8092,0.0931,0.21,-0.6714,11.4136,-5.188
566878,0.8156,0.1021,0.188,1.5259,8.1787,-4.0283
566898,0.7795,0.0851,0.1801,2.8687,3.0518,-2.8076
566922,0.7571,0.0828,0.1809,5.0659,-1.1597,-2.7466
566942,0.78,0.0913,0.1805,7.6904,-3.6621,-2.5635
566962,0.8025,0.1013,0.1887,8.1177,-5.7373,-1.8921
566983,0.8479,0.1071,0.2191,6.8359,-6.958,-1.2817
567003,0.8849,0.0929,0.2328,5.5542,-5.6152,-0.5493
567023,0.9138,0.0723,0.2329,2.8687,-3.7842,0.1831
567043,0.9429,0.061,0.2263,2.0142,-4.5776,1.5869
567063,0.9691,0.0691,0.2864,3.7842,-5.0049,-1.2817
567086,1.0015,0.1003,0.2686,8.1177,-4.0894,-4.8828
567106,1.0238,0.0972,0.2855,9.8267,-1.5259,-6.958
567126,1.0363,0.0548,0.2714,6.958,3.9673,-6.1646
567146,1.0358,0.0383,0.2714,6.7139,5.249,-8.3618
567166,1.123,0.062,0.3093,7.0801,9.7656,-11.3525
567187,1.2339,0.0598,0.2277,8.3008,8.4229,-11.5356
567207,0.9325,0.0034,0.3276,10.437,4.3945,-13.1226
567227,0.9346,0.0272,0.3605,10.498,8.9111,-10.376
567247,1.0424,0.0244,0.3846,12.9395,11.1084,-2.0142
567267,1.0396,-0.0486,0.4,11.2915,14.2212,2.9297
567287,0.9973,-0.1189,0.4098,8.606,16.4795,4.8218
567307,1.0128,-0.1171,0.4274,10.437,11.9629,4.5166
567327,0.9951,-0.0784,0.4161,15.1978,4.1504,4.7607
567350,0.9435,-0.0739,0.3978,18.7378,-2.0142,4.0894
567370,0.8964,-0.075,0.3676,20.1416,-5.4932,3.9062
567391,0.8789,-0.093,0.3596,19.104,-3.7842,5.188
567411,0.943,-0.0939,0.3092,16.4795,-3.2959,8.1177
567431,0.8673,-0.1023,0.2959,16.3574,-7.2632,8.5449
567452,0.8322,-0.1096,0.2755,13.3667,-7.6294,7.4463
567472,0.8425,-0.1003,0.2571,8.5449,-6.2866,7.8735
567512,0.8315,-0.1067,0.2404,4.3335,-17.0288,4.6387
567536,0.7766,-0.0865,0.2266,1.5259,-15.625,4.0283
567556,0.7362,-0.0796,0.2129,-2.0142,-8.1787,5.6152
567576,0.7194,-0.0958,0.2078,-3.479,-8.1177,3.9062
567596,0.7477,-0.0989,0.2017,-4.8218,-5.0049,4.3335
567616,0.7936,-0.0952,0.2206,-6.8359,-5.0659,3.1128
567636,0.8096,-0.0864,0.2579,-5.7373,-5.5542,0.8545
567656,0.8428,-0.0875,0.2601,-6.7139,-4.4556,-0.4883
567676,0.8865,-0.0712,0.2776,-7.1411,-1.3428,-0.7935
567696,0.8947,-0.0621,0.2825,-6.897,1.6479,0.7935
567716,0.9663,-0.05,0.2947,-8.4229,6.7139,2.9297
567736,1.0393,-0.0347,0.2727,-9.8267,8.1787,5.188
567756,1.0658,-0.0159,0.2515,-9.4604,5.6763,8.606
567776,1.0986,-0.0153,0.2999,-9.3994,6.7749,10.0098
567796,1.2722,0.0046,0.3254,-8.5449,8.728,10.0708
567816,1.2351,0.0839,0.3452,0.4272,2.1362,7.6904
567838,1.1318,0.0916,0.436,-0.3052,-2.5024,7.5073
567858,1.1128,0.0692,0.4365,0.061,3.3569,8.8501
567878,1.0117,0.0829,0.4818,-1.0986,4.3335,7.9956
567898,0.8916,0.0719,0.4968,-2.9907,7.2632,7.019
567918,0.9081,0.0276,0.4325,-10.6201,13.2446,6.897
567938,0.9255,-0.0061,0.4672,-19.2261,12.146,4.3945
567962,0.9521,0.0347,0.4221,-25.1465,8.7891,-2.9907
567986,0.9312,0.1002,0.4384,-23.7427,4.5776,-12.0239
568006,0.9792,0.1083,0.3606,-21.1182,1.9531,-14.0991
568026,0.9091,0.1636,0.3335,-19.6533,0.3662,-13.2446
568046,0.8477,0.1776,0.2952,-14.8315,-1.2817,-11.3525
568066,0.7921,0.1561,0.2717,-10.7422,-5.8594,-8.1787
568107,0.748,0.0947,0.2181,-5.4932,2.8076,-4.5166
568127,0.6985,0.0731,0.1947,-1.0376,0.7324,-5.7983
568147,0.6772,0.085,0.1921,1.8311,-1.0376,-7.0801
568167,0.6921,0.0879,0.165,3.418,-0.5493,-5.0659
568187,0.7747,0.0873,0.1781,3.6621,-1.4648,-2.8687
568207,0.783,0.0615,0.1798,4.3945,-4.3335,-3.0518
568229,0.8287,0.0632,0.1692,6.5918,-6.7749,-4.4556
568249,0.8315,0.0601,0.2017,5.0659,-6.8359,-5.127
568269,0.8723,0.078,0.2081,3.9062,-1.0986,-3.6011
568289,0.9532,0.1147,0.2244,6.3477,0.2441,-3.8452
568309,1.0331,0.1156,0.2136,9.3384,0.6104,-4.3335
568329,1.1001,0.0704,0.2242,9.1553,-0.6714,-5.0659
568349,1.1167,0.0571,0.2234,8.0566,-1.4648,-5.0659
568369,1.1447,0.051,0.2521,7.8125,-3.8452,-6.7749
568389,1.1677,0.0608,0.3044,12.3901,-5.188,-10.0098
568409,1.2756,0.0167,0.2517,13.1226,-4.3335,-10.8643
568429,0.9745,-0.033,0.3838,10.0708,-0.4883,-11.8408
568449,0.9165,-0.0151,0.4757,11.1084,10.7422,-9.7046
568469,1.0828,-0.0444,0.4232,12.4512,10.7422,-3.418
568489,1.031,-0.1421,0.4769,8.4839,14.8926,2.3193
568509,1.0168,-0.1562,0.4736,8.4839,12.8784,3.9673
568529,1.0085,-0.1558,0.4712,12.3291,4.7607,3.7842
568549,1.0133,-0.1577,0.4513,12.9395,-0.9766,4.2114
568569,0.9332,-0.1392,0.4254,15.0757,-3.7842,3.6011
568589,0.9365,-0.1072,0.4133,15.564,-1.8921,3.7842
568609,0.9207,-0.0771,0.347,16.7236,-4.6387,8.0566
568629,0.8756,-0.0706,0.3134,15.3809,-2.5635,8.606
568649,0.7992,-0.0347,0.2599,12.2681,-1.2817,13.5498
568669,0.7975,-0.0446,0.2479,10.8643,-5.3101,10.3149
568693,0.724,-0.0695,0.2151,10.3149,-10.7422,11.5356
568713,0.7427,-0.0873,0.2191,5.5542,-6.3477,13.9771
568733,0.7488,-0.0859,0.1996,2.6245,-6.8359,8.3008
568753,0.7098,-0.0676,0.2169,4.0894,-10.3149,3.0518
568777,0.7081,-0.0673,0.2076,5.4932,-11.6577,1.77
568797,0.7511,-0.08,0.2068,3.479,-9.2773,1.4038
568817,0.7772,-0.098,0.2023,1.2817,-10.2539,2.5635
568837,0.7781,-0.1265,0.2288,-3.6011,-3.6011,1.5259
568857,0.8187,-0.1207,0.2312,-4.3335,-1.8921,1.4648
568877,0.8926,-0.08,0.2554,-1.3428,-1.8311,1.2817
568897,0.9565,-0.0597,0.2655,-2.6855,3.54,1.3428
568917,1.0507,-0.0867,0.2742,-7.019,6.5918,5.4932
568937,1.1162,-0.0939,0.2709,-11.2915,4.0283,7.0801
568957,1.0913,-0.0692,0.2646,-12.207,-2.5635,9.2163
568980,1.1355,-0.0558,0.3674,-14.6484,-0.2441,8.667
569000,1.3684,0.0011,0.3347,-11.5967,6.1035,10.9863
569020,1.1167,0.0588,0.5032,-2.3804,-2.7466,8.7891
569040,1.0613,0.04,0.4708,-3.9062,6.958,9.8877
569060,1.0028,0.0411,0.5148,-8.8501,16.9678,8.4839
569081,0.9463,0.0571,0.5337,-9.2163,13.4888,5.5542
